Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Region,State,City,Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit
ORD-1906,2023-01-01,2023-01-05,Standard,Aarav Reddy,Home Office,East,Bihar,Gaya,Clothing,Formal Shirt,5,899.62,0.15,3823.39,580.56
ORD-1536,2023-01-01,2023-01-06,Standard,Isha Nair,Consumer,East,Odisha,Cuttack,Clothing,Denim Jeans,6,1190.33,0.0,7141.98,1090.81
ORD-2552,2023-01-02,2023-01-07,Standard,Anika Rao,Corporate,East,Odisha,Rourkela,Clothing,Sports Shoes,4,1405.96,0.05,5342.65,776.4
ORD-2757,2023-01-02,2023-01-05,Express,Myra Kapoor,Corporate,West,Goa,Panaji,Furniture,Office Chair,1,12574.45,0.0,12574.45,987.07
ORD-2897,2023-01-03,2023-01-07,Standard,Pooja Kapoor,Corporate,West,Maharashtra,Pune,Stationery,Whiteboard,2,374.5,0.2,599.2,110.75
ORD-1453,2023-01-03,2023-01-07,Standard,Ishaan Reddy,Corporate,North,Uttar Pradesh,Kanpur,Home & Kitchen,Cutlery Set,6,3764.62,0.0,22587.72,4702.38
ORD-2437,2023-01-03,2023-01-07,Standard,Karan Patel,Consumer,South,Tamil Nadu,Chennai,Furniture,Wardrobe,7,16794.9,0.05,111686.09,14140.01
ORD-1221,2023-01-03,2023-01-05,Express,Myra Iyer,Corporate,East,Bihar,Muzaffarpur,Electronics,Smartwatch,7,1586.78,0.1,9996.71,762.31
ORD-1341,2023-01-04,2023-01-07,Express,Ananya Bose,Consumer,West,Maharashtra,Nagpur,Clothing,Sports Shoes,2,1348.92,0.15,2293.16,396.75
ORD-2771,2023-01-04,2023-01-10,Standard,Suresh Chauhan,Consumer,West,Gujarat,Vadodara,Clothing,Denim Jeans,4,1740.42,0.0,6961.68,1257.55
ORD-1007,2023-01-04,2023-01-08,Standard,Pooja Joshi,Corporate,East,Odisha,Rourkela,Home & Kitchen,LED Lamp,3,3912.84,0.15,9977.74,1342.54
ORD-2681,2023-01-05,2023-01-09,Standard,Vivaan Mukherjee,Consumer,South,Karnataka,Bengaluru,Electronics,Power Bank,2,2229.95,0.0,4459.9,587.17
ORD-2232,2023-01-05,2023-01-11,Standard,Kavya Nair,Consumer,North,Punjab,Ludhiana,Furniture,Sofa Set,2,16069.07,0.15,27317.42,1715.23
ORD-2983,2023-01-05,2023-01-09,Standard,Ishaan Rao,Consumer,North,Haryana,Gurugram,Clothing,Kurta Set,6,2565.32,0.0,15391.92,4418.04
ORD-3135,2023-01-05,2023-01-09,Standard,Karan Sharma,Home Office,South,Karnataka,Bengaluru,Furniture,Dining Table,7,16044.85,0.3,78619.76,200.75
ORD-1893,2023-01-06,2023-01-12,Standard,Reyansh Bhatt,Corporate,South,Kerala,Kozhikode,Electronics,Earbuds,5,3556.42,0.05,16892.99,2495.23
ORD-2351,2023-01-06,2023-01-09,Express,Aarav Joshi,Corporate,South,Tamil Nadu,Madurai,Furniture,Dining Table,8,21879.68,0.1,157533.7,10281.21
ORD-2102,2023-01-07,2023-01-11,Standard,Rahul Pillai,Consumer,East,Odisha,Rourkela,Home & Kitchen,Mixer Grinder,2,1771.34,0.05,3365.55,488.66
ORD-1648,2023-01-07,2023-01-10,Express,Karan Kapoor,Consumer,North,Uttar Pradesh,Lucknow,Furniture,Dining Table,5,23071.89,0.1,103823.51,11619.76
ORD-1778,2023-01-07,2023-01-14,Standard,Nikhil Verma,Corporate,North,Haryana,Panipat,Electronics,Laptop Stand,8,8477.85,0.1,61040.52,5465.91
ORD-2999,2023-01-08,2023-01-11,Express,Saanvi Bose,Corporate,North,Haryana,Faridabad,Furniture,Sofa Set,7,6147.76,0.0,43034.32,3777.92
ORD-2190,2023-01-08,2023-01-12,Standard,Suresh Chauhan,Corporate,East,West Bengal,Kolkata,Electronics,Webcam,4,2023.36,0.05,7688.77,1340.23
ORD-2435,2023-01-08,2023-01-12,Standard,Vihaan Chauhan,Consumer,North,Haryana,Gurugram,Stationery,Notebook Pack,6,637.05,0.05,3631.18,1025.6
ORD-1347,2023-01-08,2023-01-12,Standard,Isha Malhotra,Corporate,South,Karnataka,Mangaluru,Clothing,Winter Jacket,5,1759.03,0.05,8355.39,2695.6
ORD-2532,2023-01-09,2023-01-11,Express,Suresh Bose,Consumer,West,Rajasthan,Jodhpur,Electronics,Earbuds,8,1824.57,0.0,14596.56,2658.23
ORD-3031,2023-01-09,2023-01-15,Standard,Karan Kapoor,Consumer,South,Kerala,Thiruvananthapuram,Clothing,Formal Shirt,4,1690.78,0.1,6086.81,1686.24
ORD-3072,2023-01-10,2023-01-16,Standard,Nikhil Mukherjee,Corporate,West,Gujarat,Ahmedabad,Home & Kitchen,Mixer Grinder,5,6322.55,0.1,28451.48,3624.82
ORD-2525,2023-01-10,2023-01-16,Standard,Isha Singh,Consumer,West,Gujarat,Vadodara,Home & Kitchen,Vacuum Flask,2,1425.69,0.05,2708.81,618.32
ORD-1529,2023-01-10,2023-01-17,Standard,Isha Reddy,Home Office,West,Gujarat,Ahmedabad,Clothing,Formal Shirt,5,986.85,0.05,4687.54,913.4
ORD-1463,2023-01-11,2023-01-17,Standard,Rahul Chauhan,Home Office,North,Delhi,New Delhi,Furniture,Bed Frame,1,6178.39,0.0,6178.39,444.19
ORD-1186,2023-01-12,2023-01-19,Standard,Karan Sharma,Consumer,South,Karnataka,Mysuru,Electronics,Wireless Mouse,7,8742.55,0.2,48958.28,4358.83
ORD-1689,2023-01-12,2023-01-14,Express,Karan Reddy,Corporate,West,Goa,Panaji,Furniture,Sofa Set,8,13297.45,0.15,90422.66,6890.42
ORD-2305,2023-01-12,2023-01-12,Same Day,Pooja Singh,Consumer,South,Karnataka,Mangaluru,Electronics,USB-C Hub,7,4252.29,0.2,23812.82,817.32
ORD-3000,2023-01-12,2023-01-16,Standard,Riya Das,Corporate,East,Bihar,Patna,Clothing,Winter Jacket,3,822.5,0.05,2344.12,472.49
ORD-1327,2023-01-12,2023-01-15,Express,Arjun Gupta,Consumer,North,Punjab,Jalandhar,Home & Kitchen,Cutlery Set,8,6286.0,0.1,45259.2,9483.91
ORD-3157,2023-01-13,2023-01-18,Standard,Myra Chatterjee,Corporate,South,Karnataka,Mysuru,Home & Kitchen,Vacuum Flask,5,4637.9,0.1,20870.55,3688.76
ORD-1194,2023-01-13,2023-01-19,Standard,Meera Reddy,Corporate,West,Maharashtra,Pune,Electronics,Wireless Mouse,5,7899.04,0.2,31596.16,4515.25
ORD-2645,2023-01-14,2023-01-19,Standard,Priya Pillai,Corporate,East,Jharkhand,Ranchi,Home & Kitchen,Storage Containers,1,5629.66,0.15,4785.21,504.05
ORD-2738,2023-01-14,2023-01-17,Express,Arjun Pillai,Consumer,South,Kerala,Kozhikode,Clothing,Sports Shoes,3,981.94,0.15,2503.95,744.68
ORD-1354,2023-01-15,2023-01-15,Same Day,Kavya Chauhan,Home Office,South,Tamil Nadu,Coimbatore,Clothing,Kurta Set,1,1485.21,0.0,1485.21,517.23
ORD-2387,2023-01-15,2023-01-22,Standard,Isha Reddy,Consumer,East,Bihar,Patna,Clothing,Saree,6,1704.33,0.0,10225.98,3012.75
ORD-2887,2023-01-15,2023-01-19,Standard,Neha Rao,Corporate,South,Karnataka,Mysuru,Stationery,Desk Organizer,8,735.9,0.05,5592.84,1041.81
ORD-1659,2023-01-16,2023-01-18,Express,Reyansh Bhatt,Home Office,South,Karnataka,Mangaluru,Clothing,Saree,7,1731.12,0.0,12117.84,2481.85
ORD-2271,2023-01-16,2023-01-19,Express,Aditya Kapoor,Corporate,South,Kerala,Kochi,Electronics,Earbuds,4,6287.36,0.0,25149.44,5065.81
ORD-2294,2023-01-16,2023-01-23,Standard,Vivaan Nair,Home Office,South,Karnataka,Bengaluru,Clothing,Track Pants,5,1128.59,0.0,5642.95,1752.78
ORD-2427,2023-01-16,2023-01-20,Standard,Krishna Kapoor,Corporate,North,Haryana,Faridabad,Furniture,Bed Frame,1,3449.37,0.0,3449.37,325.68
ORD-2506,2023-01-17,2023-01-21,Standard,Neha Gupta,Home Office,North,Haryana,Panipat,Electronics,USB-C Hub,3,4925.64,0.15,12560.38,688.0
ORD-1132,2023-01-17,2023-01-19,Express,Riya Bose,Consumer,West,Maharashtra,Mumbai,Clothing,Winter Jacket,7,2495.04,0.2,13972.22,1556.55
ORD-2929,2023-01-18,2023-01-21,Express,Riya Bose,Corporate,East,Bihar,Gaya,Clothing,Winter Jacket,8,2729.61,0.2,17469.5,4526.18
ORD-2599,2023-01-20,2023-01-22,Express,Rahul Bose,Consumer,East,Bihar,Muzaffarpur,Stationery,Desk Organizer,8,673.38,0.0,5387.04,2003.79
ORD-1813,2023-01-20,2023-01-24,Standard,Riya Gupta,Consumer,East,Jharkhand,Ranchi,Clothing,Saree,4,995.72,0.05,3783.74,775.2
ORD-1852,2023-01-21,2023-01-21,Same Day,Krishna Das,Consumer,West,Goa,Panaji,Clothing,Sports Shoes,8,810.06,0.0,6480.48,1730.93
ORD-1488,2023-01-22,2023-01-27,Standard,Kiara Gupta,Consumer,North,Uttar Pradesh,Lucknow,Stationery,Desk Organizer,5,240.91,0.05,1144.32,358.64
ORD-1630,2023-01-22,2023-01-24,Express,Pooja Gupta,Consumer,North,Uttar Pradesh,Kanpur,Clothing,Winter Jacket,7,1686.93,0.15,10037.23,1826.1
ORD-1183,2023-01-23,2023-01-30,Standard,Diya Rao,Corporate,South,Karnataka,Mangaluru,Home & Kitchen,Mixer Grinder,6,1213.23,0.0,7279.38,1763.82
ORD-2689,2023-01-23,2023-01-25,Express,Arjun Iyer,Consumer,East,Bihar,Gaya,Electronics,Webcam,8,5676.04,0.15,38597.07,3809.5
ORD-2176,2023-01-24,2023-01-27,Express,Diya Chatterjee,Consumer,South,Karnataka,Mysuru,Clothing,Cotton T-Shirt,7,1920.52,0.0,13443.64,4138.81
ORD-1267,2023-01-24,2023-01-28,Standard,Reyansh Nair,Consumer,South,Telangana,Nizamabad,Stationery,Gel Pen Set,8,570.01,0.0,4560.08,1274.1
ORD-1403,2023-01-24,2023-01-26,Express,Vivaan Rao,Corporate,South,Karnataka,Mysuru,Electronics,Smartwatch,3,1438.21,0.05,4098.9,810.0
ORD-1658,2023-01-25,2023-01-27,Express,Rahul Rao,Consumer,South,Karnataka,Mysuru,Stationery,Highlighter Set,5,867.88,0.0,4339.4,1305.73
ORD-2918,2023-01-25,2023-01-27,Express,Isha Sharma,Corporate,South,Karnataka,Mysuru,Clothing,Sports Shoes,3,1499.65,0.1,4049.06,529.69
ORD-2450,2023-01-25,2023-01-28,Express,Nikhil Singh,Consumer,South,Karnataka,Mysuru,Clothing,Formal Shirt,3,2201.88,0.2,5284.51,1214.08
ORD-3037,2023-01-25,2023-01-25,Same Day,Priya Reddy,Consumer,South,Kerala,Kozhikode,Home & Kitchen,Air Fryer,5,5059.3,0.15,21502.02,2075.29
ORD-1343,2023-01-26,2023-01-29,Express,Myra Pillai,Home Office,West,Goa,Panaji,Stationery,Whiteboard,1,84.19,0.0,84.19,30.1
ORD-1997,2023-01-26,2023-01-31,Standard,Aadhya Menon,Corporate,West,Gujarat,Surat,Clothing,Sports Shoes,8,476.18,0.0,3809.44,575.58
ORD-3198,2023-01-26,2023-02-01,Standard,Nikhil Nair,Consumer,East,Bihar,Gaya,Clothing,Track Pants,4,2785.82,0.15,9471.79,1288.2
ORD-1578,2023-01-27,2023-01-30,Express,Saanvi Rao,Consumer,South,Karnataka,Mangaluru,Stationery,Gel Pen Set,8,651.74,0.15,4431.83,852.29
ORD-1203,2023-01-27,2023-02-02,Standard,Saanvi Chauhan,Corporate,East,Bihar,Gaya,Furniture,Office Chair,4,17627.48,0.1,63458.93,4288.14
ORD-3054,2023-01-28,2023-02-01,Standard,Neha Chauhan,Consumer,East,Jharkhand,Dhanbad,Clothing,Sports Shoes,5,871.23,0.15,3702.73,670.68
ORD-2094,2023-01-28,2023-02-04,Standard,Myra Nair,Home Office,South,Karnataka,Bengaluru,Stationery,Gel Pen Set,4,408.18,0.0,1632.72,558.12
ORD-1481,2023-01-28,2023-02-01,Standard,Priya Verma,Consumer,West,Goa,Margao,Stationery,Desk Organizer,3,359.75,0.1,971.33,259.3
ORD-2095,2023-01-28,2023-01-30,Express,Kiara Mukherjee,Corporate,South,Kerala,Kochi,Furniture,Wardrobe,4,22873.3,0.0,91493.2,5954.16
ORD-3025,2023-01-29,2023-02-05,Standard,Vivaan Verma,Consumer,West,Maharashtra,Mumbai,Stationery,Desk Organizer,2,977.88,0.0,1955.76,455.28
ORD-2963,2023-01-29,2023-01-29,Same Day,Meera Mukherjee,Corporate,East,Bihar,Patna,Furniture,Sofa Set,6,14915.95,0.2,71596.56,1923.14
ORD-3024,2023-01-30,2023-02-03,Standard,Kavya Iyer,Consumer,East,Odisha,Cuttack,Electronics,Wireless Mouse,6,2839.03,0.1,15330.76,1010.24
ORD-3134,2023-01-30,2023-02-03,Standard,Priya Kapoor,Consumer,West,Goa,Vasco da Gama,Clothing,Kurta Set,2,503.94,0.1,907.09,218.65
ORD-2534,2023-01-30,2023-02-01,Express,Aarav Nair,Consumer,South,Karnataka,Mysuru,Clothing,Winter Jacket,3,2309.94,0.2,5543.86,603.24
ORD-1590,2023-01-30,2023-02-02,Express,Krishna Nair,Consumer,North,Punjab,Ludhiana,Home & Kitchen,Cutlery Set,6,5767.19,0.05,32872.98,2818.57
ORD-1412,2023-01-30,2023-01-30,Same Day,Ananya Verma,Corporate,West,Goa,Vasco da Gama,Home & Kitchen,Non-stick Pan,6,6646.7,0.3,27916.14,4076.64
ORD-1036,2023-01-30,2023-02-02,Express,Ananya Das,Home Office,East,Odisha,Cuttack,Electronics,Power Bank,5,5312.07,0.05,25232.33,2315.01
ORD-1939,2023-01-31,2023-02-05,Standard,Isha Das,Consumer,South,Kerala,Kozhikode,Stationery,Sketch Kit,7,376.48,0.1,2371.82,841.27
ORD-2483,2023-01-31,2023-02-06,Standard,Ananya Malhotra,Corporate,East,West Bengal,Howrah,Electronics,Earbuds,2,8612.2,0.0,17224.4,3686.32
ORD-2285,2023-01-31,2023-01-31,Same Day,Nikhil Nair,Corporate,South,Tamil Nadu,Chennai,Stationery,Highlighter Set,1,499.84,0.2,399.87,102.38
ORD-2247,2023-01-31,2023-02-04,Standard,Ishaan Malhotra,Corporate,North,Delhi,Dwarka,Electronics,Earbuds,1,7906.32,0.05,7511.0,1417.29
ORD-1429,2023-01-31,2023-01-31,Same Day,Aditya Chatterjee,Consumer,West,Gujarat,Ahmedabad,Stationery,Gel Pen Set,3,461.37,0.05,1314.9,253.01
ORD-2214,2023-01-31,2023-02-07,Standard,Aditya Mukherjee,Consumer,South,Tamil Nadu,Chennai,Clothing,Saree,5,2859.91,0.1,12869.59,1574.02
ORD-1765,2023-02-01,2023-02-08,Standard,Saanvi Joshi,Consumer,North,Uttar Pradesh,Kanpur,Electronics,Smartwatch,4,5708.08,0.3,15982.62,1898.73
ORD-2560,2023-02-02,2023-02-05,Express,Aditya Verma,Corporate,North,Delhi,Dwarka,Clothing,Denim Jeans,6,2542.63,0.0,15255.78,4119.08
ORD-2912,2023-02-02,2023-02-06,Standard,Ananya Menon,Corporate,West,Maharashtra,Nagpur,Furniture,TV Unit,2,16456.96,0.2,26331.14,1163.18
ORD-1121,2023-02-02,2023-02-02,Same Day,Diya Rao,Consumer,South,Tamil Nadu,Madurai,Home & Kitchen,Cutlery Set,7,2815.83,0.1,17739.73,3002.78
ORD-1606,2023-02-02,2023-02-09,Standard,Isha Rao,Home Office,West,Rajasthan,Jaipur,Home & Kitchen,Cutlery Set,5,6464.3,0.1,29089.35,2792.44
ORD-1281,2023-02-02,2023-02-04,Express,Amit Malhotra,Consumer,West,Gujarat,Ahmedabad,Electronics,Earbuds,5,1106.41,0.0,5532.05,998.53
ORD-2760,2023-02-03,2023-02-06,Express,Ishaan Kapoor,Corporate,South,Kerala,Thiruvananthapuram,Home & Kitchen,Air Fryer,6,4587.02,0.15,23393.8,2768.4
ORD-1400,2023-02-04,2023-02-07,Express,Suresh Menon,Home Office,North,Haryana,Faridabad,Stationery,File Folder,3,712.56,0.05,2030.8,518.61
ORD-1513,2023-02-04,2023-02-04,Same Day,Rahul Rao,Corporate,North,Punjab,Amritsar,Clothing,Formal Shirt,2,2421.1,0.15,4115.87,967.49
ORD-2063,2023-02-04,2023-02-09,Standard,Meera Pillai,Consumer,West,Maharashtra,Nagpur,Electronics,Earbuds,8,4662.26,0.0,37298.08,6615.31
ORD-2607,2023-02-04,2023-02-07,Express,Ananya Reddy,Consumer,West,Goa,Vasco da Gama,Clothing,Sports Shoes,2,2347.08,0.05,4459.45,1324.83
ORD-1673,2023-02-04,2023-02-06,Express,Rahul Verma,Home Office,West,Maharashtra,Nagpur,Stationery,Whiteboard,8,996.37,0.1,7173.86,1923.03
ORD-2473,2023-02-05,2023-02-11,Standard,Aditya Bose,Corporate,South,Karnataka,Mangaluru,Furniture,Office Chair,1,9010.29,0.1,8109.26,615.88
ORD-2741,2023-02-07,2023-02-09,Express,Rohan Das,Home Office,North,Haryana,Faridabad,Electronics,Earbuds,5,7333.36,0.15,31166.78,1575.85
